repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
asynq,Go,2019-11-15T05:17:55Z,2026-02-08T07:53:19Z,12858,903,258,12858,8348
nightingale,Go,2020-03-03T17:08:26Z,2026-02-08T06:01:21Z,12833,1670,193,12833,98570
genai-toolbox,Go,2024-06-07T20:52:54Z,2026-02-08T08:41:08Z,12772,1170,172,12772,755289
dep,Go,2016-10-07T00:04:51Z,2026-02-07T03:01:38Z,12770,1029,0,12770,12502
chromedp,Go,2017-01-24T14:54:30Z,2026-02-08T02:46:22Z,12712,855,168,12712,2917
witr,Go,2025-12-20T17:26:59Z,2026-02-08T08:25:46Z,12630,300,7,12630,4404
beats,Go,2014-02-05T19:01:02Z,2026-02-06T23:03:31Z,12581,4990,950,12581,494508
swag,Go,2017-06-10T09:24:06Z,2026-02-07T18:21:41Z,12580,1344,420,12580,5568
go-admin,Go,2020-03-13T09:22:25Z,2026-02-06T20:36:13Z,12556,2560,67,12556,17765
kopia,Go,2015-12-19T22:47:14Z,2026-02-08T05:02:25Z,12510,603,736,12510,33034
crowdsec,Go,2020-05-15T09:38:05Z,2026-02-08T02:22:08Z,12454,575,265,12454,169721
grpcurl,Go,2017-11-20T15:53:31Z,2026-02-07T21:22:39Z,12425,562,118,12425,654
sarama,Go,2013-07-05T18:52:38Z,2026-02-08T08:26:53Z,12421,1844,52,12421,11495
night,Go,2018-03-17T15:28:14Z,2026-02-04T16:06:56Z,12305,1172,10,12305,62166
go2rtc,Go,2022-08-18T06:16:48Z,2026-02-08T04:11:28Z,12194,936,591,12194,15924
nakama,Go,2017-01-13T17:15:12Z,2026-02-08T03:37:14Z,12193,1357,124,12193,137255
zerolog,Go,2017-05-12T05:24:39Z,2026-02-07T19:12:23Z,12185,614,144,12185,1478
gotraining,Go,2014-07-01T23:12:46Z,2026-02-05T13:40:51Z,12179,2203,0,12179,115970
coder,Go,2021-12-22T06:08:52Z,2026-02-08T07:24:34Z,12177,1163,839,12177,266660
crawlab,Go,2019-02-10T06:01:59Z,2026-02-08T08:14:32Z,12151,1890,160,12151,25423
pan-light,Go,2019-03-21T14:34:26Z,2026-02-04T16:07:48Z,12140,2421,87,12140,26218
infracost,Go,2020-06-24T09:11:56Z,2026-02-08T08:13:15Z,12095,656,239,12095,15330
vuls,Go,2016-03-27T02:29:09Z,2026-02-08T02:16:10Z,12040,1224,59,12040,31074
earthly,Go,2020-03-12T18:24:04Z,2026-02-08T02:45:29Z,11976,449,736,11976,37880
portmaster,Go,2018-11-13T15:31:45Z,2026-02-08T07:10:18Z,11946,445,85,11946,40319
kustomize,Go,2018-05-11T17:09:33Z,2026-02-08T08:08:47Z,11924,2359,187,11924,96742
toxiproxy,Go,2014-09-04T13:56:38Z,2026-02-08T01:00:54Z,11820,489,100,11820,3559
stash,Go,2018-06-04T00:28:38Z,2026-02-08T05:26:17Z,11791,994,818,11791,69724
kubeshark,Go,2021-04-19T10:29:56Z,2026-02-08T03:10:06Z,11769,514,140,11769,76209
gopsutil,Go,2014-04-18T07:35:28Z,2026-02-08T08:38:38Z,11704,1654,221,11704,3688
pansou,Go,2025-07-10T07:17:46Z,2026-02-08T08:38:01Z,11687,2787,3,11687,12082
sftpgo,Go,2019-07-20T10:18:31Z,2026-02-08T08:16:13Z,11654,900,150,11654,40459
martini,Go,2013-10-30T02:34:07Z,2026-02-05T22:35:27Z,11627,1091,17,11627,496
webhook,Go,2015-01-12T20:59:11Z,2026-02-08T08:18:35Z,11561,868,119,11561,9401
resty,Go,2015-08-28T17:48:47Z,2026-02-08T00:40:38Z,11521,777,8,11521,4282
grype,Go,2020-05-26T13:44:38Z,2026-02-08T08:20:17Z,11503,738,358,11503,8505
dozzle,Go,2018-10-30T00:05:23Z,2026-02-08T08:10:48Z,11465,493,3,11465,153017
quic-go,Go,2016-04-06T20:16:27Z,2026-02-07T07:57:09Z,11407,1512,220,11407,22729
encore,Go,2021-02-17T16:33:24Z,2026-02-08T07:39:11Z,11406,556,211,11406,16912
netmaker,Go,2021-03-25T15:33:08Z,2026-02-07T16:46:13Z,11392,633,198,11392,298476
crossplane,Go,2018-09-08T00:10:35Z,2026-02-08T07:01:46Z,11386,1133,151,11386,47393
linkerd2,Go,2017-12-04T23:16:56Z,2026-02-07T14:27:57Z,11281,1333,216,11281,56683
shiori,Go,2018-01-23T13:57:11Z,2026-02-08T00:39:41Z,11253,607,103,11253,49879
devbox,Go,2022-08-18T20:27:16Z,2026-02-07T15:49:55Z,11249,297,408,11249,42979
slides,Go,2021-05-05T23:13:42Z,2026-02-08T01:46:37Z,11248,304,76,11248,4426
opa,Go,2015-12-28T22:08:25Z,2026-02-07T22:34:16Z,11199,1511,382,11199,1129131
pyroscope,Go,2020-12-31T05:47:19Z,2026-02-07T23:08:45Z,11185,718,383,11185,244662
kubescape,Go,2021-08-12T10:39:29Z,2026-02-06T08:09:49Z,11174,894,42,11174,117149
gotenberg,Go,2018-03-23T14:05:59Z,2026-02-08T08:10:07Z,11164,736,54,11164,21697
go-github,Go,2013-05-24T16:42:58Z,2026-02-06T20:45:29Z,11122,2206,57,11122,10716
gnet,Go,2019-02-24T03:48:45Z,2026-02-07T06:29:41Z,11079,1108,2,11079,44209
OpenDiablo2,Go,2018-11-22T05:19:30Z,2026-02-07T17:16:07Z,10979,844,75,10979,38353
bleve,Go,2014-04-17T21:02:18Z,2026-02-08T05:54:40Z,10953,698,294,10953,18048
clair,Go,2015-11-13T18:46:16Z,2026-02-07T14:55:05Z,10923,1196,69,10923,36604
owncast,Go,2020-05-24T00:58:13Z,2026-02-08T04:16:34Z,10923,1177,187,10923,984881
vcluster,Go,2021-04-08T14:47:46Z,2026-02-08T03:46:05Z,10920,553,118,10920,106917
opencode,Go,2025-03-16T23:38:55Z,2026-02-08T07:32:27Z,10857,1015,161,10857,1374
FerretDB,Go,2021-10-30T08:06:36Z,2026-02-07T11:21:01Z,10832,475,408,10832,14958
dtm,Go,2021-05-16T00:56:28Z,2026-02-07T07:26:24Z,10820,997,83,10820,3493
buf,Go,2019-10-03T00:09:57Z,2026-02-08T00:55:48Z,10810,346,54,10810,28073
qt,Go,2014-11-19T00:03:08Z,2026-02-08T06:28:09Z,10782,751,372,10782,175962
jwt-go,Go,2012-04-18T01:41:49Z,2026-02-02T14:39:27Z,10777,985,138,10777,389
terraform-provider-aws,Go,2017-06-05T20:37:52Z,2026-02-08T01:23:28Z,10737,9943,3440,10737,877632
frankenphp,Go,2022-03-25T09:37:54Z,2026-02-08T08:22:07Z,10730,428,193,10730,7527
wuzz,Go,2017-01-30T21:22:00Z,2026-02-07T02:02:43Z,10713,412,42,10713,1222
dicedb,Go,2022-08-31T19:01:22Z,2026-02-08T02:43:36Z,10675,1414,136,10675,20102
sliver,Go,2019-01-17T22:07:38Z,2026-02-08T06:04:42Z,10666,1449,217,10666,211379
gqlgen,Go,2018-02-11T04:54:11Z,2026-02-07T19:54:43Z,10657,1246,390,10657,16677
go-cqhttp,Go,2020-07-22T14:05:15Z,2026-02-07T18:00:22Z,10648,1602,315,10648,2922
tyk,Go,2014-05-07T14:38:24Z,2026-02-07T09:41:54Z,10626,1158,393,10626,257727
robotgo,Go,2016-09-26T16:26:56Z,2026-02-06T16:53:27Z,10607,946,135,10607,6045
nginx-ui,Go,2021-02-19T10:51:04Z,2026-02-08T08:42:09Z,10585,776,72,10585,127867
dex,Go,2015-08-17T17:57:06Z,2026-02-07T23:05:15Z,10573,1894,497,10573,27370
fsnotify,Go,2014-06-28T16:47:01Z,2026-02-08T07:57:44Z,10539,962,36,10539,879
go-openai,Go,2020-08-18T14:42:54Z,2026-02-08T03:55:54Z,10536,1692,226,10536,806
grumpy,Go,2016-12-21T17:49:01Z,2026-02-06T01:10:58Z,10526,637,80,10526,1481
