repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
Flat-UI,JavaScript,2013-03-03T15:36:49Z,2026-02-08T01:03:37Z,15176,2290,10,15176,36190
exceljs,JavaScript,2014-12-09T20:57:12Z,2026-02-08T07:49:18Z,15104,1948,783,15104,21786
charts,JavaScript,2017-10-26T10:13:21Z,2026-02-07T16:08:43Z,15091,753,143,15091,7009
recompose,JavaScript,2015-10-07T05:54:51Z,2026-02-02T17:54:00Z,15068,1234,123,15068,1325
apexcharts.js,JavaScript,2018-07-24T15:22:23Z,2026-02-08T06:18:58Z,15063,1384,337,15063,151520
mathjs,JavaScript,2013-02-15T19:46:01Z,2026-02-06T12:02:38Z,15002,1298,176,15002,101956
paper.js,JavaScript,2011-02-07T18:21:30Z,2026-02-07T19:15:54Z,14966,1257,431,14966,111156
ScrollMagic,JavaScript,2013-09-23T08:08:53Z,2026-02-07T11:59:09Z,14964,2137,516,14964,5408
NodeBB,JavaScript,2013-04-22T16:49:40Z,2026-02-08T02:53:17Z,14957,2935,202,14957,102315
bower,JavaScript,2012-09-07T00:15:39Z,2026-02-08T03:05:11Z,14938,1820,14,14938,4801
amphtml,JavaScript,2015-09-01T22:10:53Z,2026-02-06T16:23:13Z,14919,4094,1007,14919,966755
KeepChatGPT,JavaScript,2023-03-28T18:12:33Z,2026-02-08T03:08:46Z,14909,738,120,14909,14384
riot,JavaScript,2013-09-27T05:21:01Z,2026-02-06T22:47:08Z,14908,964,4,14908,25788
showdown,JavaScript,2008-11-13T21:39:21Z,2026-02-08T08:24:08Z,14822,1581,231,14822,6716
cesium,JavaScript,2012-03-02T22:27:14Z,2026-02-08T08:46:13Z,14810,3740,1563,14810,988982
graphql-spec,JavaScript,2015-07-01T01:26:56Z,2026-02-05T19:06:45Z,14778,1149,208,14778,6064
bootswatch,JavaScript,2012-02-07T04:31:56Z,2026-02-07T15:38:26Z,14770,3659,68,14770,93597
hapi,JavaScript,2011-08-06T00:35:39Z,2026-02-08T07:11:47Z,14761,1346,59,14761,17059
browserify,JavaScript,2010-09-22T16:11:32Z,2026-02-07T19:41:23Z,14733,1198,378,14733,2516
automerge-classic,JavaScript,2017-04-19T15:25:24Z,2026-02-06T21:01:58Z,14726,459,78,14726,4047
mithril.js,JavaScript,2014-03-17T01:59:39Z,2026-02-07T06:56:39Z,14671,932,27,14671,10701
x-spreadsheet,JavaScript,2018-09-06T10:24:23Z,2026-02-06T06:02:36Z,14620,1765,412,14620,4066
samples,JavaScript,2013-09-20T10:40:23Z,2026-02-07T15:29:02Z,14571,5742,44,14571,18458
keystone-classic,JavaScript,2013-07-02T05:01:55Z,2026-02-07T12:04:47Z,14551,2189,354,14551,151918
