repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
DnsServer,C#,2017-10-29T10:56:47Z,2026-02-08T01:51:11Z,7455,631,156,7455,7385
stride,C#,2018-06-08T05:25:16Z,2026-02-07T12:53:25Z,7439,1078,732,7439,41429
StabilityMatrix,C#,2023-06-13T05:20:38Z,2026-02-08T07:38:19Z,7431,514,211,7431,139809
OFGB,C#,2024-04-30T11:50:14Z,2026-02-08T04:52:01Z,7415,249,8,7415,74
btcpayserver,C#,2017-08-18T12:57:05Z,2026-02-08T05:22:05Z,7382,1914,75,7382,61319
de4dot,C#,2011-09-20T01:50:28Z,2026-02-05T08:17:42Z,7338,2795,9,7338,5753
N_m3u8DL-RE,C#,2022-05-25T12:28:40Z,2026-02-08T08:45:29Z,7336,751,391,7336,3612
UniRx,C#,2014-03-20T12:23:28Z,2026-02-05T12:50:03Z,7305,889,245,7305,8416
BepInEx,C#,2018-02-11T00:26:15Z,2026-02-08T08:14:42Z,7297,789,365,7297,4452
LenovoLegionToolkit,C#,2021-10-19T08:59:53Z,2026-02-07T14:21:44Z,7270,348,28,7270,21070
NSwag,C#,2015-09-02T19:11:57Z,2026-02-07T06:40:48Z,7269,1346,2024,7269,66512
Nancy,C#,2010-06-24T19:35:22Z,2026-02-07T02:15:12Z,7123,1451,218,7123,45465
PixiEditor,C#,2018-10-09T19:11:51Z,2026-02-08T05:30:12Z,7121,278,203,7121,153204
reactive,C#,2013-09-03T22:33:51Z,2026-02-06T08:11:16Z,7111,783,178,7111,46203
UIEffect,C#,2017-02-27T13:49:29Z,2026-02-07T22:53:37Z,7090,901,13,7090,40956
CAP,C#,2016-12-14T09:40:20Z,2026-02-07T21:03:10Z,7053,1322,12,7053,14096
ShadowsocksR-Windows,C#,2018-04-19T04:53:38Z,2026-02-07T15:15:26Z,7017,1138,13,7017,15582
language-ext,C#,2014-11-16T23:49:58Z,2026-02-06T08:02:15Z,7015,451,11,7015,25622
quartznet,C#,2010-12-30T16:29:27Z,2026-02-06T08:48:07Z,6996,1729,138,6996,31908
HandyControl,C#,2018-05-22T05:04:19Z,2026-02-07T11:02:34Z,6937,1131,312,6937,53495
AssetRipper,C#,2021-07-12T03:52:18Z,2026-02-08T08:57:27Z,6864,814,109,6864,452031
sharpkeys,C#,2017-04-12T15:33:02Z,2026-02-07T14:24:13Z,6805,436,18,6805,179
EquinoxProject,C#,2016-12-14T04:36:58Z,2026-02-07T09:09:15Z,6766,1656,3,6766,1777
Prism,C#,2015-02-25T20:54:32Z,2026-02-07T17:11:32Z,6721,1645,41,6721,30672
MailKit,C#,2013-12-07T04:07:06Z,2026-02-06T04:35:22Z,6715,863,15,6715,25733
GameFramework,C#,2017-02-26T06:17:27Z,2026-02-06T20:48:10Z,6654,1555,11,6654,6767
ZyperWinOptimize,C#,2025-08-05T01:46:41Z,2026-02-08T07:58:24Z,6621,405,51,6621,27468
FlaxEngine,C#,2020-12-09T15:02:33Z,2026-02-08T06:05:03Z,6606,651,768,6606,67349
MessagePack-CSharp,C#,2017-02-13T00:58:41Z,2026-02-08T04:18:33Z,6601,755,137,6601,12766
FASTER,C#,2018-08-02T06:38:41Z,2026-02-08T07:55:04Z,6600,593,36,6600,9345
FlyOOBE,C#,2024-10-19T22:03:51Z,2026-02-08T08:24:27Z,6595,368,112,6595,2545
NLog,C#,2012-09-12T13:49:29Z,2026-02-07T21:39:50Z,6535,1386,44,6535,118677
ViVe,C#,2019-09-19T18:34:38Z,2026-02-08T00:13:38Z,6529,347,10,6529,503
ToastFish,C#,2021-05-03T08:38:08Z,2026-02-06T09:53:20Z,6416,497,119,6416,51535
ScottPlot,C#,2018-01-04T03:34:45Z,2026-02-08T07:32:35Z,6397,979,251,6397,142516
downkyicore,C#,2023-11-25T14:00:58Z,2026-02-08T06:09:13Z,6355,458,113,6355,12344
moq,C#,2012-03-11T21:09:02Z,2026-02-07T21:35:01Z,6348,842,26,6348,23100
openhardwaremonitor,C#,2015-08-23T21:32:54Z,2026-02-06T14:32:04Z,6338,1309,1088,6338,2290
Harmony,C#,2017-01-04T09:43:16Z,2026-02-08T08:45:53Z,6317,567,15,6317,18445
Borderless-Gaming,C#,2014-01-11T08:02:50Z,2026-02-08T08:30:20Z,6295,585,10,6295,6906
dotnet-starter-kit,C#,2021-08-20T06:43:02Z,2026-02-06T07:18:45Z,6288,1902,26,6288,8189
SyncTrayzor,C#,2015-02-08T17:08:40Z,2026-02-08T06:15:32Z,6181,433,165,6181,15692
dlss-swapper,C#,2021-08-07T00:33:57Z,2026-02-08T06:53:26Z,6178,181,123,6178,13641
ant-design-blazor,C#,2019-11-26T05:25:02Z,2026-02-06T15:44:34Z,6152,1150,321,6152,89097
C-Sharp-Algorithms,C#,2015-05-14T11:56:48Z,2026-02-07T02:15:11Z,6149,1413,39,6149,3437
StackExchange.Redis,C#,2014-03-14T14:09:26Z,2026-02-08T06:55:14Z,6140,1553,304,6140,29516
npoi,C#,2013-01-02T00:59:05Z,2026-02-06T21:41:30Z,6134,1485,71,6134,140033
Masuit.Tools,C#,2017-03-02T07:02:07Z,2026-02-07T23:08:29Z,6117,1296,0,6117,11824
WindowsCommunityToolkit,C#,2016-06-17T21:29:46Z,2026-02-05T17:38:06Z,6087,1378,314,6087,309497
NAudio,C#,2015-02-15T15:08:03Z,2026-02-06T11:48:37Z,6084,1125,521,6084,10878
stateless,C#,2014-08-15T19:57:39Z,2026-02-08T03:19:10Z,6083,793,80,6083,8040
VFSForGit,C#,2017-01-25T21:10:29Z,2026-02-07T22:25:50Z,6080,461,307,6080,8789
MixedRealityToolkit-Unity,C#,2016-01-28T18:54:58Z,2026-01-29T09:44:07Z,6066,2105,4,6066,1919939
websocket-sharp,C#,2010-10-18T12:51:34Z,2026-02-07T08:31:53Z,6047,1690,560,6047,17962
Mirror,C#,2018-07-20T18:37:41Z,2026-02-07T15:14:53Z,6039,846,57,6039,417117
Prowlarr,C#,2020-10-18T04:26:27Z,2026-02-08T08:56:41Z,6002,285,92,6002,276725
open-project-1,C#,2020-08-10T13:58:34Z,2026-02-07T19:49:09Z,6001,2057,61,6001,4876097
graphql-dotnet,C#,2015-07-06T16:47:15Z,2026-02-03T09:58:05Z,5984,930,114,5984,16413
nvidiaProfileInspector,C#,2016-03-26T18:53:58Z,2026-02-08T06:45:23Z,5930,334,200,5930,800
azure-sdk-for-net,C#,2011-12-06T23:32:47Z,2026-02-07T20:18:58Z,5930,5111,1208,5930,4361197
opencvsharp,C#,2013-12-21T00:27:48Z,2026-02-06T08:05:12Z,5900,1221,48,5900,72414
runner,C#,2019-04-30T15:26:10Z,2026-02-08T03:27:18Z,5849,1217,508,5849,21975
gsudo,C#,2019-11-07T14:10:34Z,2026-02-07T22:35:42Z,5848,160,62,5848,5826
FastEndpoints,C#,2021-09-16T04:49:00Z,2026-02-08T08:44:27Z,5823,365,10,5823,15874
workflow-core,C#,2016-11-15T23:32:24Z,2026-02-08T03:08:06Z,5812,1268,210,5812,2237
keepass2android,C#,2017-09-20T18:42:02Z,2026-02-08T08:02:35Z,5809,458,1088,5809,92374
docker-lambda,C#,2016-05-26T03:06:22Z,2026-01-21T10:42:12Z,5795,414,68,5795,28319
1Remote,C#,2020-03-14T02:31:24Z,2026-02-08T06:07:06Z,5781,484,20,5781,29432
VPet,C#,2022-12-13T06:37:41Z,2026-02-07T19:16:32Z,5771,577,24,5771,1335056
SqlSugar,C#,2015-07-13T05:07:40Z,2026-02-07T15:13:34Z,5765,1390,2,5765,86651
ParrelSync,C#,2020-05-16T14:27:26Z,2026-02-07T10:41:16Z,5754,380,42,5754,16475
unity-mcp,C#,2025-03-18T11:01:58Z,2026-02-08T08:49:37Z,5744,712,31,5744,15655
KurrentDB,C#,2012-09-17T17:22:49Z,2026-02-07T18:47:18Z,5727,672,146,5727,344490
graphql-platform,C#,2018-01-11T13:12:21Z,2026-02-08T08:49:28Z,5674,803,482,5674,892485
ProxySU,C#,2020-03-05T00:28:47Z,2026-02-08T02:04:28Z,5666,1523,19,5666,32131
Winhance,C#,2025-01-13T13:20:05Z,2026-02-08T08:56:27Z,5654,271,81,5654,5550
MisakaTranslator,C#,2020-03-03T05:35:31Z,2026-02-07T23:35:24Z,5629,449,87,5629,36552
WPF-Samples,C#,2015-04-15T23:35:11Z,2026-02-07T13:57:44Z,5600,3273,71,5600,28623
example-voting-app,C#,2015-11-15T19:59:56Z,2026-02-07T20:18:35Z,5599,15026,66,5599,1234
STranslate,C#,2022-12-17T13:40:24Z,2026-02-08T06:43:46Z,5596,304,27,5596,153423
Mvc,C#,2013-12-12T03:54:00Z,2026-02-05T15:15:30Z,5591,2112,0,5591,72119
win-acme,C#,2015-11-12T20:56:22Z,2026-02-07T19:02:37Z,5582,855,32,5582,6901
Xamarin.Forms,C#,2016-03-18T15:52:03Z,2026-02-07T21:36:09Z,5574,1852,2441,5574,111226
Live-Charts,C#,2015-09-18T22:27:20Z,2026-02-07T21:39:57Z,5563,1358,554,5563,18266
