repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
Search-Replace-DB,PHP,2011-12-05T17:09:20Z,2026-02-06T07:06:47Z,4089,856,35,4089,1345
freescout,PHP,2018-06-22T17:08:50Z,2026-02-08T06:12:35Z,4077,627,26,4077,26103
Lychee,PHP,2018-08-08T07:19:08Z,2026-02-07T14:21:51Z,4065,363,65,4065,180669
jetstream,PHP,2020-08-31T19:25:24Z,2026-02-07T00:54:10Z,4064,842,3,4064,2067
polyfill-ctype,PHP,2018-05-01T05:36:18Z,2026-02-02T13:29:00Z,4050,6,0,4050,25
persistence,PHP,2018-06-06T16:04:51Z,2026-02-07T11:03:10Z,4045,76,18,4045,1815
laravel-swoole,PHP,2017-11-06T14:37:03Z,2026-01-09T21:48:39Z,4040,385,40,4040,787
dom-crawler,PHP,2011-02-22T18:02:15Z,2026-02-02T08:40:34Z,4037,123,0,4037,2065
easyappointments,PHP,2014-11-26T20:51:50Z,2026-02-06T15:36:02Z,4035,1488,165,4035,46201
core,PHP,2015-06-26T14:55:57Z,2026-02-07T17:03:11Z,4034,961,82,4034,3948
opensourcepos,PHP,2013-11-26T18:09:05Z,2026-02-07T11:46:17Z,4026,2457,335,4026,57641
dcat-admin,PHP,2019-04-20T02:22:35Z,2026-02-06T13:14:42Z,4018,773,156,4018,82997
dzzoffice,PHP,2015-01-10T10:36:11Z,2026-02-07T14:16:59Z,4016,818,10,4016,59177
Laravel-AdminLTE,PHP,2015-06-28T13:49:58Z,2026-01-29T05:11:39Z,4010,1096,10,4010,7779
eloquent-sluggable,PHP,2013-06-05T21:42:39Z,2026-02-08T06:30:05Z,3990,450,0,3990,714
octane,PHP,2021-03-21T14:12:53Z,2026-02-06T01:16:32Z,3982,329,16,3982,1030
stripe-php,PHP,2011-06-25T19:52:24Z,2026-02-07T11:03:12Z,3979,890,15,3979,10139
Geocoder,PHP,2011-11-07T21:56:41Z,2026-01-22T09:36:13Z,3974,522,57,3974,41367
Behat,PHP,2011-02-15T00:02:39Z,2026-01-29T14:17:28Z,3962,615,61,3962,7667
twill,PHP,2018-06-29T17:46:46Z,2026-02-06T17:03:07Z,3945,585,126,3945,60096
contracts,PHP,2018-07-13T11:31:01Z,2026-02-07T11:03:12Z,3944,18,0,3944,506
WP-API,PHP,2013-06-01T10:52:43Z,2026-02-08T02:13:23Z,3941,652,52,3941,8045
laravel-zero,PHP,2017-01-26T19:56:14Z,2026-02-05T09:35:08Z,3934,205,57,3934,6680
Pico,PHP,2012-04-04T13:46:20Z,2026-02-03T19:55:23Z,3900,609,16,3900,1897
laravel-s,PHP,2018-01-16T07:37:04Z,2026-02-06T13:54:33Z,3886,474,71,3886,5633
personal-management-system,PHP,2019-03-26T20:08:02Z,2026-02-07T23:22:59Z,3883,317,2,3883,146767
Sakurairo,PHP,2020-03-25T03:24:01Z,2026-02-07T22:57:39Z,3878,408,13,3878,138174
manong,PHP,2014-05-14T01:46:57Z,2026-01-30T01:47:00Z,3874,945,0,3874,4945
php-encryption,PHP,2014-02-06T06:47:32Z,2026-02-07T11:31:17Z,3870,312,11,3870,13471
laravel,PHP,2023-04-09T21:03:10Z,2026-02-05T08:58:01Z,3856,210,4,3856,18020
yaml,PHP,2011-02-18T10:47:20Z,2026-01-29T17:31:03Z,3851,134,0,3851,2326
laravel-generator,PHP,2016-02-14T09:38:53Z,2026-02-04T01:23:27Z,3840,838,84,3840,1279
dnscat2,PHP,2013-01-04T23:15:55Z,2026-02-06T11:40:06Z,3828,635,97,3828,3916
dotenv,PHP,2017-01-12T18:05:23Z,2026-01-24T10:33:28Z,3801,29,0,3801,401
getallheaders,PHP,2014-06-02T17:46:58Z,2026-01-26T08:42:27Z,3798,34,1,3798,204
sakura,PHP,2018-05-26T10:59:48Z,2026-02-05T08:35:16Z,3788,602,25,3788,45721
laravel-nestedset,PHP,2013-09-28T16:44:21Z,2026-02-06T08:44:03Z,3785,476,208,3785,411
Xboard,PHP,2023-11-14T03:32:59Z,2026-02-08T03:43:09Z,3785,1030,240,3785,73654
oauth2-client,PHP,2013-01-29T16:01:42Z,2026-02-06T22:03:06Z,3780,767,56,3780,1316
Hello-CTF,PHP,2023-04-16T05:12:55Z,2026-02-08T08:30:36Z,3776,237,4,3776,187205
wp-graphql,PHP,2016-10-31T16:06:18Z,2026-02-07T17:45:57Z,3771,469,121,3771,99047
ampache,PHP,2013-03-21T16:42:53Z,2026-02-08T07:43:07Z,3763,607,385,3763,244912
2FAuth,PHP,2019-05-15T16:32:56Z,2026-02-08T02:11:25Z,3739,263,27,3739,19469
phpggc,PHP,2017-07-03T08:54:25Z,2026-02-08T07:50:12Z,3732,541,13,3732,670
assetic,PHP,2011-01-10T17:47:13Z,2026-01-21T21:21:55Z,3727,549,294,3727,1867
php-crud-api,PHP,2015-02-10T01:08:52Z,2026-02-06T21:43:25Z,3726,1039,95,3726,4042
Piwigo,PHP,2015-07-25T11:32:24Z,2026-02-08T08:25:40Z,3713,466,726,3713,76927
pimcore,PHP,2011-11-01T09:16:14Z,2026-02-06T12:21:27Z,3710,1506,573,3710,527148
LaravelShoppingcart,PHP,2013-05-22T18:17:19Z,2026-01-28T08:39:35Z,3709,1753,240,3709,153
laravel,PHP,2022-12-26T21:27:37Z,2026-02-08T03:37:56Z,3708,256,14,3708,125
AzuraCast,PHP,2016-04-30T21:41:23Z,2026-02-07T23:15:25Z,3696,689,103,3696,268952
EasyImages2.0,PHP,2019-05-23T12:18:36Z,2026-02-08T02:44:37Z,3666,512,19,3666,88346
osTicket,PHP,2013-08-12T19:10:14Z,2026-02-07T16:51:19Z,3656,1797,1181,3656,77240
ss-panel,PHP,2014-11-09T17:07:35Z,2026-02-07T12:13:20Z,3629,1566,108,3629,30869
json-schema,PHP,2011-03-16T02:15:33Z,2026-02-07T01:20:43Z,3626,365,15,3626,1226
Requests,PHP,2012-02-07T15:37:48Z,2026-02-03T12:52:15Z,3583,502,124,3583,6894
framework-bundle,PHP,2011-10-25T05:25:34Z,2026-02-06T07:13:28Z,3577,123,1,3577,16836
bouncer,PHP,2015-09-17T00:34:40Z,2026-01-30T08:27:59Z,3569,338,51,3569,3006
fractal,PHP,2013-11-26T23:26:43Z,2026-02-04T15:43:40Z,3553,346,54,3553,2205
recaptcha,PHP,2014-09-30T18:30:39Z,2026-02-02T20:08:07Z,3545,776,106,3545,303
Silex,PHP,2010-09-16T09:47:20Z,2026-02-07T06:40:11Z,3544,705,0,3544,3661
laravel-localization,PHP,2013-08-25T23:14:30Z,2026-02-08T06:05:28Z,3543,519,51,3543,810
RED_HAWK,PHP,2017-06-11T05:02:35Z,2026-02-08T00:00:34Z,3532,930,25,3532,46
cms,PHP,2017-01-27T21:52:45Z,2026-02-07T23:33:18Z,3529,682,518,3529,921572
TastyIgniter,PHP,2014-02-02T14:14:26Z,2026-02-07T08:49:41Z,3519,1135,4,3519,54027
Hi.Events,PHP,2023-10-24T05:46:29Z,2026-02-07T17:27:27Z,3510,576,137,3510,32616
openbay,PHP,2014-12-19T14:45:37Z,2026-02-04T11:34:07Z,3510,886,89,3510,15491
zguide,PHP,2010-08-16T17:31:00Z,2026-02-05T04:51:08Z,3503,1655,122,3503,53893
phpspider,PHP,2015-08-06T01:33:17Z,2026-02-05T13:23:43Z,3487,1164,122,3487,5478
PocketMine-MP,PHP,2016-09-30T18:29:35Z,2026-02-08T04:45:39Z,3484,1633,457,3484,55497
lighthouse,PHP,2016-05-29T21:44:38Z,2026-02-07T23:15:38Z,3480,465,134,3480,16090
astral,PHP,2015-03-14T16:59:41Z,2026-02-07T15:11:02Z,3473,154,41,3473,8079
Learn-Laravel-5,PHP,2015-03-07T07:56:52Z,2026-02-03T15:37:11Z,3470,566,6,3470,413
csv,PHP,2013-12-02T21:30:34Z,2026-02-05T08:50:16Z,3464,345,2,3464,10658
php-markdown,PHP,2010-06-06T17:48:42Z,2026-02-07T01:46:22Z,3463,527,99,3463,821
laravel-apidoc-generator,PHP,2016-05-03T20:20:16Z,2026-02-01T19:07:31Z,3455,605,56,3455,1444
hybridauth,PHP,2011-11-15T23:38:39Z,2026-02-08T03:13:33Z,3449,1123,93,3449,6741
LinkStack,PHP,2022-02-14T09:29:22Z,2026-02-08T08:20:27Z,3447,376,42,3447,47817
event-dispatcher-contracts,PHP,2019-05-27T06:53:48Z,2026-01-24T10:33:29Z,3440,2,0,3440,52
device-detector,PHP,2014-04-02T21:41:32Z,2026-02-07T15:28:46Z,3432,508,82,3432,52622
php-resque,PHP,2010-04-18T13:54:52Z,2026-01-30T05:46:26Z,3427,751,103,3427,316
lunar,PHP,2021-12-21T16:14:38Z,2026-02-07T17:22:14Z,3406,462,66,3406,8487
maker-bundle,PHP,2017-11-08T14:10:03Z,2026-02-04T12:12:40Z,3397,432,214,3397,4874
passport,PHP,2016-07-11T14:13:09Z,2026-02-04T22:32:37Z,3394,788,6,3394,1674
laravel-auditing,PHP,2015-08-20T11:39:51Z,2026-02-07T13:44:33Z,3382,403,18,3382,1083
htmlpurifier,PHP,2008-06-24T03:22:14Z,2026-02-06T08:28:59Z,3382,356,126,3382,9177
SensioFrameworkExtraBundle,PHP,2010-12-08T13:02:38Z,2026-01-16T20:17:18Z,3375,279,59,3375,1222
CRUD,PHP,2016-03-10T12:03:46Z,2026-02-07T10:12:40Z,3372,924,84,3372,76865
xdebug,PHP,2011-06-22T12:33:00Z,2026-02-05T18:02:13Z,3371,594,11,3371,11560
polyfill-intl-idn,PHP,2018-10-01T13:03:10Z,2026-02-07T22:26:05Z,3368,7,0,3368,100
paseto,PHP,2018-01-02T04:50:29Z,2026-02-05T16:47:52Z,3366,107,1,3366,979
zephir,PHP,2013-07-17T14:49:27Z,2026-02-05T02:17:59Z,3365,462,119,3365,25284
wp-bootstrap-navwalker,PHP,2012-07-31T16:06:31Z,2026-02-04T12:19:27Z,3349,1883,35,3349,581
canvas,PHP,2016-02-29T19:06:11Z,2026-01-31T04:29:40Z,3344,524,39,3344,176455
bref,PHP,2017-11-30T20:57:40Z,2026-02-05T19:10:12Z,3342,370,70,3342,19521
