repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
AndroidPerformanceMonitor,Java,2016-01-17T05:23:22Z,2026-02-06T14:15:38Z,6737,1021,57,6737,1077
Leaf,Java,2018-12-11T07:41:35Z,2026-02-06T01:08:37Z,6727,1875,95,6727,149
mybatis-generator-gui,Java,2016-05-08T22:39:39Z,2026-02-07T06:21:13Z,6713,2524,120,6713,14934
XXPermissions,Java,2018-06-15T14:31:29Z,2026-02-08T02:14:00Z,6689,884,3,6689,86442
quartz,Java,2016-03-07T14:05:37Z,2026-02-05T14:55:14Z,6683,1991,69,6683,26952
AndroidAutoLayout,Java,2015-11-19T02:09:11Z,2026-02-06T11:27:29Z,6673,1889,132,6673,7466
storm,Java,2013-11-05T08:00:14Z,2026-02-07T02:57:29Z,6671,4054,41,6671,156531
jOOQ,Java,2011-04-17T10:43:33Z,2026-02-08T04:10:37Z,6652,1228,2153,6652,282884
AndPermission,Java,2016-09-11T05:17:34Z,2026-02-05T17:35:57Z,6649,1101,176,6649,1665
wvp-GB28181-pro,Java,2020-11-14T14:16:37Z,2026-02-07T14:41:57Z,6646,1882,32,6646,71717
zeppelin,Java,2015-03-25T07:00:06Z,2026-02-08T03:09:26Z,6608,2829,84,6608,113948
smali,Java,2012-09-23T19:51:16Z,2026-02-06T18:55:28Z,6599,1107,144,6599,9535
Toasty,Java,2017-01-18T18:52:41Z,2026-02-07T08:33:00Z,6596,802,50,6596,977
hazelcast,Java,2012-03-21T12:25:18Z,2026-02-06T07:06:35Z,6587,1875,1106,6587,422268
Pixiv-Shaft,Java,2019-04-01T09:59:09Z,2026-02-08T04:59:29Z,6564,224,165,6564,180723
pig,Java,2019-08-26T03:24:53Z,2026-02-06T13:24:03Z,6554,1065,285,6554,39328
ansj_seg,Java,2012-09-05T05:56:24Z,2026-02-05T17:01:09Z,6540,2298,54,6540,352518
Android-skin-support,Java,2017-01-12T15:03:54Z,2026-02-01T12:52:43Z,6521,1102,103,6521,54130
processing,Java,2013-01-24T21:17:22Z,2026-01-25T23:00:05Z,6502,1480,495,6502,1648017
Suwayomi-Server,Java,2020-12-23T20:31:38Z,2026-02-08T07:29:15Z,6441,324,148,6441,101157
hibernate-orm,Java,2010-10-04T16:15:52Z,2026-02-07T22:32:51Z,6438,3730,108,6438,307428
Android-Image-Cropper,Java,2015-01-15T10:49:37Z,2026-02-07T08:27:31Z,6436,1373,362,6436,26047
Spring-Cloud-Platform,Java,2017-05-25T10:35:26Z,2026-02-05T10:51:51Z,6433,2374,15,6433,212466
RoundedImageView,Java,2013-02-22T01:17:37Z,2026-02-01T09:22:46Z,6417,1242,0,6417,8746
QR-Code-generator,Java,2016-04-15T02:19:41Z,2026-02-08T04:20:37Z,6410,1238,12,6410,1389
async-http-client,Java,2011-03-07T13:41:46Z,2026-02-07T08:49:29Z,6405,1595,107,6405,19103
remusic,Java,2016-03-24T06:20:39Z,2026-02-07T15:15:10Z,6387,1924,89,6387,115952
micronaut-core,Java,2018-03-07T12:05:08Z,2026-02-07T10:37:07Z,6380,1169,836,6380,113653
astron-rpa,Java,2025-09-20T08:51:40Z,2026-02-08T07:55:27Z,6369,869,14,6369,174283
jetlinks-community,Java,2020-01-02T07:27:34Z,2026-02-08T08:19:50Z,6367,1855,51,6367,70912
jsonschema2pojo,Java,2013-06-22T22:28:53Z,2026-02-07T22:37:22Z,6359,1671,230,6359,13671
