repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
blender,C++,2019-10-09T12:47:28Z,2026-02-08T05:59:59Z,17474,2733,0,17474,1594458
brpc,C++,2017-09-04T09:28:47Z,2026-02-07T02:38:42Z,17460,4095,446,17460,41993
Marlin,C++,2011-08-13T08:07:20Z,2026-02-08T06:24:00Z,17279,19668,804,17279,256489
react-native-windows,C++,2015-12-15T00:16:54Z,2026-02-08T06:41:09Z,17183,1192,762,17183,338501
upx,C++,2016-08-31T11:23:13Z,2026-02-08T04:20:55Z,17114,1491,22,17114,78926
abseil-cpp,C++,2017-09-20T15:10:30Z,2026-02-08T06:22:15Z,17015,2966,213,17015,19645
Qv2ray,C++,2019-06-15T01:51:08Z,2026-02-08T01:33:38Z,17003,3235,50,17003,25596
bgfx,C++,2012-04-04T03:39:04Z,2026-02-08T01:46:59Z,16697,2044,315,16697,318304
ZLMediaKit,C++,2017-04-01T08:30:25Z,2026-02-07T16:59:52Z,16639,3946,112,16639,156159
Arduino,C++,2015-03-27T05:22:06Z,2026-02-08T05:38:36Z,16564,13238,399,16564,225344
dxvk,C++,2017-10-11T13:34:29Z,2026-02-08T05:36:05Z,16546,1062,329,16546,24551
arrow,C++,2016-02-17T08:00:23Z,2026-02-08T07:42:10Z,16486,4007,3991,16486,225586
audacity,C++,2015-03-26T10:46:17Z,2026-02-08T01:49:57Z,16451,2509,1400,16451,387023
ZeroTierOne,C++,2013-04-24T13:21:10Z,2026-02-07T17:51:14Z,16413,1903,362,16413,163997
Sourcetrail,C++,2015-12-09T12:32:11Z,2026-02-08T03:50:09Z,16401,1641,355,16401,296908
Valdi,C++,2025-11-06T17:33:28Z,2026-02-08T07:46:51Z,16273,545,57,16273,83323
arduino-esp32,C++,2016-10-06T06:04:20Z,2026-02-08T08:32:43Z,16239,7803,171,16239,2194539
ceph,C++,2011-09-01T21:41:26Z,2026-02-08T04:34:29Z,16181,6283,967,16181,893684
mold,C++,2020-09-29T05:12:48Z,2026-02-08T05:59:20Z,16149,527,202,16149,26259
foundationdb,C++,2017-12-14T01:40:42Z,2026-02-08T06:45:32Z,16123,1465,837,16123,196396
moonlight-qt,C++,2018-04-28T22:41:42Z,2026-02-08T08:36:41Z,16116,972,503,16116,356434
Waifu2x-Extension-GUI,C++,2020-01-20T10:01:28Z,2026-02-08T08:17:26Z,16110,1024,94,16110,311446
cpp-httplib,C++,2012-09-22T02:38:32Z,2026-02-08T05:45:05Z,16102,2626,2,16102,4263
nix,C++,2012-02-08T10:17:59Z,2026-02-08T08:17:02Z,16065,1835,3914,16065,130834
USTC-Course,C++,2019-01-09T03:48:08Z,2026-02-07T01:20:59Z,16003,3521,0,16003,152567
muduo,C++,2010-05-05T12:58:02Z,2026-02-08T05:45:47Z,15937,5302,82,15937,1795
subconverter,C++,2019-10-31T04:51:54Z,2026-02-08T03:55:17Z,15870,3636,254,15870,7313
scylladb,C++,2014-12-24T13:16:33Z,2026-02-08T07:39:00Z,15325,1467,3664,15325,244070
tracy,C++,2020-03-17T19:43:04Z,2026-02-08T06:00:23Z,15211,1002,245,15211,34516
OpenRCT2,C++,2014-04-01T23:32:25Z,2026-02-08T06:32:17Z,15183,1737,1603,15183,267996
DearPyGui,C++,2020-05-28T17:12:57Z,2026-02-08T00:39:56Z,15181,767,402,15181,146138
nekoray,C++,2022-05-03T11:12:00Z,2026-02-08T07:57:34Z,15165,1469,218,15165,2890
polybar,C++,2016-05-19T14:16:23Z,2026-02-08T08:11:41Z,15155,723,224,15155,8999
dogecoin,C++,2013-12-06T11:38:05Z,2026-02-06T21:40:23Z,15136,3070,263,15136,195781
rapidjson,C++,2014-03-04T05:53:37Z,2026-02-08T05:43:38Z,14977,3647,766,14977,30407
OpenSpeedy,C++,2025-05-16T16:25:43Z,2026-02-08T08:12:25Z,14958,1132,1,14958,6344
Stockfish,C++,2014-06-18T19:59:53Z,2026-02-08T08:03:02Z,14702,2764,44,14702,19360
dolphin,C++,2013-07-22T09:07:57Z,2026-02-08T08:26:35Z,14596,2967,367,14596,544118
wkhtmltopdf,C++,2009-08-07T14:27:43Z,2026-02-08T03:42:39Z,14499,1930,1355,14499,6341
ardupilot,C++,2013-01-09T00:58:52Z,2026-02-08T06:45:35Z,14483,20215,2806,14483,583679
lynx,C++,2025-03-04T07:41:43Z,2026-02-08T08:00:29Z,14375,495,860,14375,41417
pcsx2,C++,2013-12-22T17:56:48Z,2026-02-08T08:26:36Z,14367,1874,733,14367,309189
dlib,C++,2014-01-29T00:45:33Z,2026-02-07T03:32:33Z,14324,3453,43,14324,49871
workflow,C++,2020-07-29T05:47:01Z,2026-02-07T12:14:29Z,14299,2567,25,14299,5071
xournalpp,C++,2013-08-08T20:58:27Z,2026-02-08T07:34:56Z,14270,1004,1160,14270,60925
MuseScore,C++,2012-05-26T12:46:33Z,2026-02-08T02:56:41Z,14226,3066,3633,14226,1199317
transmission,C++,2015-05-05T23:53:02Z,2026-02-08T04:10:16Z,14226,1340,854,14226,142135
bullet3,C++,2011-04-12T18:45:08Z,2026-02-08T06:08:20Z,14218,3034,402,14218,297038
annoy,C++,2013-04-01T20:29:40Z,2026-02-07T22:35:52Z,14149,1217,75,14149,2034
MNN,C++,2019-04-15T07:40:18Z,2026-02-08T07:09:45Z,14100,2189,71,14100,322397
arangodb,C++,2011-10-26T06:42:00Z,2026-02-08T07:00:57Z,14081,880,805,14081,2906510
ggml,C++,2022-09-18T17:07:19Z,2026-02-08T02:58:16Z,13922,1461,322,13922,27177
webview,C++,2017-08-19T08:26:00Z,2026-02-08T08:03:38Z,13871,1062,202,13871,5827
cosmos,C++,2017-09-16T12:07:05Z,2026-02-06T19:07:36Z,13717,3690,2611,13717,84619
incubator-weex,C++,2017-01-06T08:00:06Z,2026-02-04T05:43:35Z,13668,1792,248,13668,282740
carla,C++,2017-10-24T09:06:23Z,2026-02-08T04:45:20Z,13565,4452,1162,13565,2367892
drogon,C++,2018-04-27T02:49:26Z,2026-02-07T23:12:44Z,13502,1302,387,13502,5821
mosh,C++,2011-01-09T09:41:02Z,2026-02-08T07:13:48Z,13495,786,217,13495,2730
watchman,C++,2012-11-29T23:35:52Z,2026-02-07T17:34:08Z,13494,1050,239,13494,33641
