repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
tinymce,TypeScript,2010-01-11T14:46:42Z,2026-02-08T07:45:26Z,16097,2323,431,16097,113503
typescript-eslint,TypeScript,2019-01-13T17:52:15Z,2026-02-08T03:17:01Z,16081,2870,298,16081,79010
umi,TypeScript,2017-11-22T10:09:36Z,2026-02-08T03:18:59Z,16015,2679,317,16015,169766
amplication,TypeScript,2020-05-10T19:41:49Z,2026-02-07T21:11:29Z,16006,1557,624,16006,332443
Signal-Desktop,TypeScript,2014-02-24T19:53:36Z,2026-02-08T04:35:34Z,16006,2955,883,16006,945907
novel,TypeScript,2023-03-21T21:14:33Z,2026-02-08T06:18:09Z,15972,1358,114,15972,92713
sismo-badges,TypeScript,2022-06-16T15:46:44Z,2026-02-06T04:26:37Z,15969,533,7,15969,4717
plate,TypeScript,2019-12-02T01:40:10Z,2026-02-08T00:18:02Z,15896,951,35,15896,195745
vitest,TypeScript,2021-12-03T19:19:49Z,2026-02-08T01:43:47Z,15895,1642,353,15895,59226
react-native-maps,TypeScript,2015-12-29T19:54:20Z,2026-02-08T06:30:12Z,15881,4965,75,15881,13881
lowcode-engine,TypeScript,2021-12-20T07:26:44Z,2026-02-05T15:09:55Z,15880,2756,663,15880,53319
omnivore,TypeScript,2022-02-11T07:57:13Z,2026-02-07T17:38:21Z,15860,1251,364,15860,394212
javascript-obfuscator,TypeScript,2016-05-09T08:16:53Z,2026-02-08T08:04:36Z,15841,1717,97,15841,34053
ConvertX,TypeScript,2024-04-07T16:21:39Z,2026-02-08T07:20:38Z,15703,865,90,15703,2324
react-jsonschema-form,TypeScript,2015-12-16T15:14:05Z,2026-02-07T18:16:46Z,15630,2311,180,15630,438089
lx-music-mobile,TypeScript,2021-05-15T09:53:57Z,2026-02-08T07:34:24Z,15501,1765,635,15501,11256
reactotron,TypeScript,2016-04-15T21:58:32Z,2026-02-07T22:47:51Z,15492,962,153,15492,59474
sass,TypeScript,2010-09-22T06:16:55Z,2026-02-08T05:37:34Z,15372,2227,116,15372,2183
saas-starter,TypeScript,2024-09-10T00:18:56Z,2026-02-08T00:36:07Z,15365,2545,40,15365,403
apitable,TypeScript,2022-08-17T07:25:40Z,2026-02-07T14:42:22Z,15256,1383,510,15256,383388
feathers,TypeScript,2011-10-19T22:45:16Z,2026-02-06T17:21:00Z,15248,795,140,15248,42957
uuid,TypeScript,2010-12-28T14:59:11Z,2026-02-07T22:16:12Z,15226,944,2,15226,4121
ioredis,TypeScript,2015-04-02T06:42:46Z,2026-02-07T09:20:09Z,15206,1225,314,15206,7806
gitdiagram,TypeScript,2024-12-15T10:32:03Z,2026-02-08T04:58:39Z,15168,1149,37,15168,577
hydra,TypeScript,2024-03-19T23:24:25Z,2026-02-08T04:03:28Z,15158,3840,35,15158,121289
kilocode,TypeScript,2025-03-10T15:34:26Z,2026-02-08T08:21:39Z,15071,1935,880,15071,612581
Vim,TypeScript,2015-11-12T09:02:23Z,2026-02-08T08:12:10Z,15052,1440,1870,15052,22725
ag-grid,TypeScript,2014-12-23T16:20:14Z,2026-02-08T07:42:22Z,15012,2037,134,15012,2994916
jupyterlab,TypeScript,2016-06-03T20:09:17Z,2026-02-07T16:41:05Z,15007,3893,2604,15007,290970
capacitor,TypeScript,2017-11-18T21:38:09Z,2026-02-08T08:23:06Z,14955,1147,294,14955,75267
motia,TypeScript,2025-01-02T17:45:02Z,2026-02-08T06:58:37Z,14944,997,74,14944,485839
hooks,TypeScript,2019-06-27T05:20:06Z,2026-02-05T06:43:41Z,14907,2804,266,14907,12917
react-sketchapp,TypeScript,2017-04-21T18:27:39Z,2026-02-05T14:36:08Z,14903,809,35,14903,4428
got,TypeScript,2014-03-27T22:40:49Z,2026-02-08T06:19:08Z,14869,977,5,14869,3367
brain.js,TypeScript,2016-02-13T18:09:44Z,2026-02-07T21:20:55Z,14858,1081,91,14858,23430
faker,TypeScript,2022-01-07T17:22:27Z,2026-02-08T08:20:03Z,14853,1045,131,14853,31921
data-formulator,TypeScript,2024-06-07T23:01:51Z,2026-02-08T02:43:19Z,14815,1348,51,14815,22122
caprover,TypeScript,2017-10-25T05:00:43Z,2026-02-06T22:07:46Z,14811,957,172,14811,41121
vercel,TypeScript,2016-09-09T01:12:08Z,2026-02-08T05:56:51Z,14798,3357,493,14798,212197
react-spectrum,TypeScript,2019-09-13T23:32:51Z,2026-02-08T01:14:03Z,14797,1388,660,14797,229341
zigbee2mqtt,TypeScript,2018-04-08T12:01:34Z,2026-02-08T01:12:11Z,14755,1899,740,14755,114659
tfjs-models,TypeScript,2018-04-03T21:04:35Z,2026-02-07T17:04:48Z,14752,4402,235,14752,174238
ts-pattern,TypeScript,2020-05-24T16:41:02Z,2026-02-08T04:31:48Z,14740,163,61,14740,2743
Tone.js,TypeScript,2014-03-11T04:56:45Z,2026-02-06T15:27:46Z,14696,1049,61,14696,30086
formatjs,TypeScript,2014-04-24T17:28:36Z,2026-02-08T04:04:10Z,14677,1376,21,14677,74125
